,stop_id,stop_name,stop_code,zone_id,2/12/23 14:59,2/15/23 19:35,2/24/23 14:41,2/25/23 14:07,3/3/23 13:06,3/3/23 16:06,3/4/23 14:11,3/6/23 9:33,3/6/23 14:23,3/10/23 14:54,3/12/23 13:12,3/12/23 17:20,3/16/23 13:01,3/16/23 17:45,Average Delay
0,123,Park St & Otis Dr,57537,E,362,0,73,107.5,49,1183,186.5,356,33,203,116,95,0,391,225.3571429
1,125,Park St & San Jose Av,58895,E,437.5,0,73,151.5,49,0,215.5,356,33,203,84.5,109,0,391,150.2142857
2,154,2019 Shoreline Dr,57367,E,443,0,73,148.5,49,1183,272,356,33,203,139,169,0,391,247.1071429
3,158,Willow St & Shoreline Dr,50510,E,448,0,73,159.5,49,1183,284,356,33,203,148.5,177,0,391,250.3571429
4,160,Alameda South Shore Center & Kohl's,50300,E,443,0,73,236,49,1183,260,356,33,203,149,171,0,391,253.3571429
5,168,Webster St & Lincoln Av,55549,E,625.6666667,0,253,113.5,38,1183,231,233,33,203,100,0,0,477.5,249.3333333
6,171,Whitehall Pl & Willow St,51145,E,461,0,73,179.5,49,1198,265.3333333,356,33,203,161,194,0,391,254.5595238
7,173,Willow St & Franciscan Way,57597,E,453,0,73,170.5,57.5,1198,258,356,33,203,163,188,0,391,253.1428571
8,179,Park St & Buena Vista Av,56658,E,687,0,73,89.5,57.5,0,121,356,0,203,26.5,110,0,391,151.0357143
9,18,Central Av & 8th St,54233,E,609.3333333,0,253,145,46.5,1198,190,233,33,203,61,283,0,477.5,266.5952381
10,181,Park St & Santa Clara Av,52666,E,415.5,0,73,198.5,57.5,0,239,356,33,203,82.5,119,0,391,154.8571429
11,183,Park St & Encinal Av,51444,E,458,0,73,182,57.5,0,228,356,33,203,97.5,130,0,391,157.7857143
12,186,Webster St & Central Av,55975,E,625,0,253,115,46.5,1198,185,233,33,203,24,0,0,477.5,242.3571429
13,188,Webster St & Santa Clara Av,55444,E,607,0,253,87.5,46.5,1198,205,233,33,203,82,0,0,477.5,244.6785714
14,190,Alameda South Shore Center At Park St,55519,E,384,0,73,130,57.5,1198,196,356,33,203,127,118,0,391,233.3214286
15,203,Webster St & Atlantic Av,59400,E,406,0,253,81.5,46.5,1198,202,233,33,398.5,78,71,0,477.5,248.4285714
16,2036,12th St & Broadway (12th St BART),55557,E,721,982,253,156,46.5,1198,299,233,33,398.5,24,147,0,477.5,354.8928571
17,2103,23rd Av & 29th Av,55187,E,254.3333333,0,73,121.5,57.5,0,159,356,0,0,65.5,144,0,391,115.8452381
18,211,Webster St & Willie Stargell Av,50542,E,426,0,253,144,46.5,1198,189,233,33,398.5,111,71,0,477.5,255.75
19,2606,E 12th St & Fruitvale Av,57785,E,269,0,88,155.5,57.5,0,202,356,0,0,137.5,256,0,391,136.6071429
20,2820,Fruitvale Av & Blossom St,55400,E,0,0,0,0,75,0,0,356,0,0,0,63,0,0,35.28571429
21,2821,Fruitvale Av & Castello St,54844,E,0,0,0,30,75,0,34,356,0,0,30,61,0,0,41.85714286
22,2822,Fruitvale Av & International Blvd,50112,E,0,0,0,16.5,57.5,0,62,356,0,0,0,85,0,391,69.14285714
23,2823,Fruitvale Av & E 16th St,51223,E,0,0,0,0,57.5,1023,8,356,0,0,0,33,0,0,105.5357143
24,2824,Fruitvale Av & E 23rd St,58550,E,0,0,0,0,75,0,0,356,0,0,0,26,0,0,32.64285714
25,2828,Fruitvale Av & Foothill Blvd,55119,E,0,0,0,0,57.5,1023,0,356,0,0,0,63,0,0,107.1071429
26,2830,Fruitvale Av & Logan St,55657,E,0,0,0,0,75,0,0,356,0,0,0,47,0,0,34.14285714
27,2831,Fruitvale Av & MacArthur Blvd,55595,E,0,761,267.5,0,855,280,0,52,51,283,0,0,279,194.3333333,215.9166667
28,2833,Fruitvale Av & Montana St,55622,E,10,0,0,77,75,0,57,356,0,0,63.5,86,0,0,51.75
29,2843,Fruitvale BART,59000,E,0,0,88,0,57.5,1023,87,356,0,0,29.5,116,0,401,154.1428571
30,3,8th St & Portola Av,57793,E,813.5,0,252.5,117,46.5,1198,155,233,33,203,11,181,0,491,266.75
31,3658,12th St & Harrison St,58858,E,714,982,252.5,206.5,46.5,1198,320,233,33,398.5,41,105,0,491,358.6428571
32,3667,Martin Luther King Jr Way & 11th St,58900,E,0,982,252.5,0,46.5,1175,0,233,20.5,398.5,43,0,432,491,291
33,3696,Harrison St & 8th St,50237,E,371,0,252.5,175.5,46.5,1198,291,233,33,398.5,0,130,0,491,258.5714286
34,49,433 Grand St (Wood Middle School),55410,E,394,0,252.5,102.5,46.5,1198,254,233,33,203,85,196,0,491,249.1785714
35,50,Grand St & Shoreline Dr,59934,E,412,0,88,117.5,40,1198,294,233,33,203,102.5,204,0,401,237.5714286
36,5232,Park St & Clement Av,51027,E,704,0,88,109.5,57.5,0,152,356,0,203,35.5,124,0,401,159.3214286
37,5268,Fruitvale Av & School St,51269,E,0,0,0,13,75,0,15,356,0,0,4,38,0,0,35.78571429
38,5269,Fruitvale Av & Brookdale Av,51273,E,0,0,0,0,75,0,0,356,0,0,0,30,0,0,32.92857143
39,5270,Fruitvale Av & Lynde St,51274,E,0,0,0,0,75,0,0,356,0,0,0,71,0,0,35.85714286
40,5271,Fruitvale Av & E 18th St,51276,E,0,0,0,0,57.5,1023,0,356,0,0,0,50,0,0,106.1785714
41,5322,Webster St & Buena Vista Av,51478,E,402,0,252.5,92.5,46.5,1198,238,233,33,203,120,0,0,491,236.3928571
42,5336,12th & Clay St,51528,E,702,982,252.5,154,46.5,1198,295,233,20.5,398.5,7,124.5,0,491,350.3214286
43,5743,29th Av & Railroad Crossing,58856,E,272,0,88,137.5,57.5,0,183,356,0,0,103.5,264,0,401,133.0357143
44,6244,Westline Dr & Otis Dr,52967,E,583.6666667,0,252.5,80.5,46.5,1198,200,233,33,203,20,214,0,491,253.9404762
45,6245,Otis Dr & Larchmont Isle,52969,E,620.6666667,0,252.5,84.5,46.5,1198,207,233,33,203,52.5,251,0,491,262.3333333
46,6247,Otis Dr & Grand St,52975,E,673.3333333,0,252.5,94.5,46.5,1198,244,233,33,203,98,178.5,0,491,267.5238095
47,6292,Shoreline Dr & Kitty Hawk Rd,53102,E,420,0,88,127.5,57.5,1198,277,356,33,203,116.5,207.5,0,401,248.9285714